number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma_inv,params_learning_rate,params_n_epochs,params_n_steps,params_net_arch,user_attrs_gamma,user_attrs_net_arch_name,state
0,5.7285806,2026-02-11 08:49:04.679986,2026-02-11 08:51:13.449567,0 days 00:02:08.769581,tanh,512,0.2357456723467052,1.0302345185204531e-05,0.9683271002957389,0.0033962151091924955,3.670672092432571e-05,3,1024,small,0.9966037848908075,small,COMPLETE
1,10.8446365,2026-02-11 08:51:13.467149,2026-02-11 08:54:44.933191,0 days 00:03:31.466042,tanh,64,0.10929028643245392,0.04069860849567657,0.9280567670907583,0.0025154254106682376,0.0002479735441892749,5,256,small,0.9974845745893317,small,COMPLETE
2,13.4234455,2026-02-11 08:54:44.950747,2026-02-11 08:57:40.315335,0 days 00:02:55.364588,relu,256,0.19962119271243073,0.05565296526600261,0.9665528053744451,0.005750678449035859,2.9983823508274794e-05,3,2048,large,0.9942493215509641,large,COMPLETE
3,129.5726646,2026-02-11 08:57:40.330751,2026-02-11 09:08:35.434840,0 days 00:10:55.104089,relu,128,0.275327343438416,1.8135044376348704e-05,0.9427183352007616,0.03115823015123094,0.00019722806351190827,20,2048,large,0.968841769848769,large,COMPLETE
4,181.33834910000002,2026-02-11 09:08:35.448739,2026-02-11 09:25:23.445338,0 days 00:16:47.996599,tanh,64,0.22311401286899132,0.0003539081434291806,0.90250486836354,0.004640343527340205,0.0004721835614984689,20,800,large,0.9953596564726598,large,COMPLETE
5,5.7323021,2026-02-11 09:25:23.460020,2026-02-11 09:31:15.158417,0 days 00:05:51.698397,tanh,64,0.16840246653164276,0.0009417950914592846,0.9014880924570823,0.0010926523390689085,0.0009411016498490666,10,800,medium,0.9989073476609311,medium,PRUNED
6,10.689705700000001,2026-02-11 09:31:15.169093,2026-02-11 09:47:53.244266,0 days 00:16:38.075173,tanh,64,0.29414494267826063,0.0006508494868257834,0.9006042181021441,0.01996010537104538,0.0008129243919928794,20,512,large,0.9800398946289546,large,COMPLETE
7,3.2773654999999997,2026-02-11 09:47:53.258999,2026-02-11 09:52:23.752165,0 days 00:04:30.493166,tanh,256,0.16527456860714881,0.00013361043020629918,0.988967549685268,0.011449721248279612,0.0001200720108428232,20,800,medium,0.9885502787517204,medium,PRUNED
8,11.254402000000002,2026-02-11 09:52:23.761224,2026-02-11 09:57:30.449401,0 days 00:05:06.688177,relu,128,0.23806054812185004,0.005139961579632537,0.9259463627906136,0.0012310535000229488,0.00036915004708221893,10,800,large,0.998768946499977,large,PRUNED
9,2.7972276000000003,2026-02-11 09:57:30.459198,2026-02-11 09:58:35.450173,0 days 00:01:04.990975,tanh,512,0.1059434502405658,0.0001328494796321861,0.9212756611064163,0.009349928100859054,1.3669751358365739e-05,5,256,large,0.9906500718991409,large,PRUNED
